home_team,away_team,home_score,away_score,Total_Shots,Possession,Player_Rating
Villareal,Valencia,1,0,0.343478261,0.116695652,0.322608696
Eibar,Valencia,1,1,0.37826087,0.11773913,0.333043478
Real Sociedad,Valencia,2,0,0.37826087,0.11426087,0.322608696
Espanyol,Valencia,1,0,0.447826087,0.116347826,0.336521739
Sevilla,Valencia,1,0,0.413043478,0.117043478,0.333043478
Sevilla,Eibar,1,0,0.447826087,0.120173913,0.343478261
Sevilla,Villareal,4,2,0.552173913,0.119130435,0.346956522
Sevilla,Real Sociedad,1,2,0.413043478,0.119826087,0.34
Sevilla,Espanyol,2,0,0.482608696,0.120521739,0.353913043
Eibar,Sevilla,1,1,0.37826087,0.118434783,0.336521739
Villareal,Sevilla,2,1,0.308695652,0.115304348,0.333043478
Real Sociedad,Sevilla,2,0,0.447826087,0.117043478,0.305217391
Espanyol,Sevilla,1,0,0.37826087,0.117043478,0.333043478
Villareal,Eibar,1,1,0.413043478,0.119130435,0.34
Villareal,Real Sociedad,0,0,0.482608696,0.11773913,0.326086957
Villareal,Espanyol,3,1,0.586956522,0.119130435,0.34
Eibar,Villareal,1,2,0.37826087,0.117043478,0.34
Real Sociedad,Villareal,0,2,0.517391304,0.11773913,0.343478261
Espanyol,Villareal,2,2,0.482608696,0.116347826,0.336521739
Eibar,Real Sociedad,2,1,0.37826087,0.119130435,0.333043478
Eibar,Espanyol,2,1,0.447826087,0.119826087,0.319130435
Espanyol,Eibar,4,2,0.343478261,0.116347826,0.34
Real Sociedad,Eibar,2,1,0.37826087,0.114956522,0.312173913
Real Sociedad,Espanyol,2,3,0.447826087,0.11773913,0.322608696
Espanyol,Real Sociedad,0,5,0.62173913,0.119826087,0.34
Real Madrid,Ath.Bilbao,5,0,0.586956522,0.121217391,0.437391304
Real Madrid,Barcelona,3,1,0.413043478,0.113217391,0.406086957
Real Madrid,Ath.Madrid,1,2,0.726086957,0.119826087,0.333043478
Real Madrid,Valencia,2,2,0.726086957,0.120521739,0.357391304
Real Madrid,Sevilla,2,1,0.517391304,0.117391304,0.423478261
Real Madrid,Espanyol,3,0,0.482608696,0.119130435,0.42
Real Madrid,Real Sociedad,4,1,0.9,0.120521739,0.402608696
Real Madrid,Villareal,1,1,0.9,0.121217391,0.333043478
Real Madrid,Eibar,3,0,0.795652174,0.121913043,0.426956522
Ath.Bilbao,Real Madrid,1,0,0.482608696,0.121217391,0.395652174
Barcelona,Real Madrid,2,1,0.447826087,0.116,0.367826087
Ath.Madrid,Real Madrid,4,0,0.204347826,0.118782609,0.34
Valencia,Real Madrid,2,1,0.552173913,0.121913043,0.371304348
Sevilla,Real Madrid,2,3,0.552173913,0.118434783,0.409565217
Espanyol,Real Madrid,1,4,0.586956522,0.118434783,0.430434783
Real Sociedad,Real Madrid,4,2,0.482608696,0.118782609,0.34
Villareal,Real Madrid,0,2,0.413043478,0.118434783,0.402608696
Eibar,Real Madrid,0,4,0.482608696,0.119478261,0.440869565
Barcelona,Ath.Bilbao,2,0,0.552173913,0.120173913,0.395652174
Barcelona,Ath.Madrid,3,1,0.447826087,0.12226087,0.367826087
Barcelona,Valencia,2,0,0.447826087,0.120521739,0.406086957
Barcelona,Sevilla,5,1,0.447826087,0.12573913,0.430434783
Barcelona,Espanyol,5,1,0.552173913,0.123652174,0.416521739
Barcelona,Real Sociedad,2,0,0.586956522,0.121565217,0.437391304
Barcelona,Villareal,3,2,0.482608696,0.122608696,0.395652174
Barcelona,Eibar,3,0,0.865217391,0.125391304,0.430434783
Ath.Bilbao,Barcelona,2,5,0.586956522,0.120521739,0.402608696
Ath.Madrid,Barcelona,0,1,0.482608696,0.125043478,0.385217391
Valencia,Barcelona,0,1,0.552173913,0.123652174,0.374782609
Sevilla,Barcelona,0,2,0.413043478,0.12226087,0.367826087
Espanyol,Barcelona,2,2,0.517391304,0.120521739,0.395652174
Real Sociedad,Barcelona,1,0,0.482608696,0.120869565,0.346956522
Villareal,Barcelona,0,1,0.273913043,0.121565217,0.371304348
